iter	Passed	Remaining
835	22680	4449
836	22702	4421
837	22725	4393
838	22746	4365
839	22770	4337
840	22791	4308
841	22815	4281
842	22847	4255
843	22876	4228
844	22904	4201
845	22929	4173
846	22957	4146
847	22984	4119
848	23009	4092
849	23037	4065
850	23062	4037
851	23085	4010
852	23112	3983
853	23138	3955
854	23165	3928
855	23191	3901
856	23217	3874
857	23245	3847
858	23271	3819
859	23299	3792
860	23321	3765
861	23348	3737
862	23373	3710
863	23402	3683
864	23428	3656
865	23452	3628
866	23479	3601
867	23504	3574
868	23529	3546
869	23556	3519
870	23582	3492
871	23607	3465
872	23634	3438
873	23660	3411
874	23685	3383
875	23710	3356
876	23738	3329
877	23765	3302
878	23805	3276
879	23830	3249
880	23855	3222
881	23878	3194
882	23903	3167
883	23930	3140
884	23956	3113
885	23984	3085
886	24011	3058
887	24036	3031
888	24062	3004
889	24100	2978
890	24128	2951
891	24155	2924
892	24186	2898
893	24215	2871
894	24244	2844
895	24268	2816
896	24301	2790
897	24333	2763
898	24365	2737
899	24389	2709
900	24412	2682
901	24437	2655
902	24464	2627
903	24491	2600
904	24517	2573
905	24542	2546
906	24567	2519
907	24597	2492
908	24626	2465
909	24654	2438
910	24680	2411
911	24708	2384
912	24736	2357
913	24761	2329
914	24787	2302
915	24810	2275
916	24837	2248
917	24863	2220
918	24892	2193
919	24922	2167
920	24951	2140
921	24984	2113
922	25014	2086
923	25040	2059
924	25069	2032
925	25100	2005
926	25126	1978
927	25155	1951
928	25187	1924
929	25214	1897
930	25243	1870
931	25272	1843
932	25296	1816
933	25322	1789
934	25351	1762
935	25377	1735
936	25403	1707
937	25428	1680
938	25451	1653
939	25480	1626
940	25505	1599
941	25532	1572
942	25556	1544
943	25578	1517
944	25606	1490
945	25632	1463
946	25657	1435
947	25681	1408
948	25717	1382
949	25745	1355
950	25773	1327
951	25799	1300
952	25826	1273
953	25849	1246
954	25877	1219
955	25909	1192
956	25938	1165
957	25967	1138
958	25998	1111
959	26030	1084
960	26054	1057
961	26081	1030
962	26106	1003
963	26135	976
964	26167	949
965	26192	921
966	26222	894
967	26251	867
968	26282	840
969	26307	813
970	26336	786
971	26365	759
972	26394	732
973	26421	705
974	26449	678
975	26481	651
976	26515	624
977	26564	597
978	26588	570
979	26616	543
980	26645	516
981	26674	488
982	26720	462
983	26755	435
984	26778	407
985	26809	380
986	26836	353
987	26869	326
988	26902	299
989	26929	272
990	26954	244
991	26979	217
992	27008	190
993	27033	163
994	27059	135
995	27084	108
996	27110	81
997	27132	54
998	27160	27
999	27184	0
